equipment_id,functional_location,equipment_type,manufacturer,criticality,installation_date,material_id,plant,data_quality_status
EQ-0050,EAST-UNIT-02,Motor,Fictional Cedar,B,2013-08-10,MAT-002,EAST,accepted
EQ-0051,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2019-04-27,MAT-003,SOUTH,accepted
EQ-0052,NORTH-UNIT-04,Valve,Fictional Meridian,B,2015-06-19,MAT-004,NORTH,accepted
EQ-0053,EAST-UNIT-01,Pump,Fictional Cedar,B,2022-08-07,MAT-005,EAST,accepted
EQ-0054,SOUTH-UNIT-02,Motor,Fictional Atlas,B,2014-12-14,MAT-006,SOUTH,accepted
EQ-0055,NORTH-UNIT-03,Compressor,,B,2023-05-30,MAT-007,NORTH,needs_enrichment
EQ-0056,EAST-UNIT-04,Valve,Fictional Cedar,B,2019-08-18,MAT-008,EAST,accepted
EQ-0057,SOUTH-UNIT-01,Pump,Fictional Atlas,B,2020-10-09,MAT-009,SOUTH,accepted
EQ-0058,NORTH-UNIT-02,Motor,Fictional Meridian,A,2018-04-11,MAT-010,NORTH,accepted
EQ-0059,EAST-UNIT-03,Compressor,Fictional Cedar,B,2016-10-26,MAT-011,EAST,accepted
EQ-0060,SOUTH-UNIT-04,Valve,Fictional Atlas,B,2015-02-13,MAT-012,SOUTH,accepted
EQ-0061,NORTH-UNIT-01,Pump,Fictional Meridian,C,2022-01-31,MAT-001,NORTH,accepted
EQ-0062,EAST-UNIT-02,Motor,Fictional Cedar,B,2024-06-03,MAT-002,EAST,accepted
EQ-0063,SOUTH-UNIT-03,Compressor,Fictional Atlas,A,2018-02-08,MAT-003,SOUTH,accepted
EQ-0064,NORTH-UNIT-04,Valve,Fictional Meridian,C,2016-11-17,MAT-004,NORTH,accepted
EQ-0065,EAST-UNIT-01,Pump,Fictional Cedar,B,2019-10-27,MAT-005,EAST,accepted
EQ-0066,SOUTH-UNIT-02,Motor,Fictional Atlas,B,2022-05-25,MAT-006,SOUTH,accepted
EQ-0067,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2021-07-27,MAT-007,NORTH,accepted
EQ-0068,EAST-UNIT-04,Valve,Fictional Cedar,C,2020-03-26,MAT-008,EAST,accepted
EQ-0069,SOUTH-UNIT-01,Pump,Fictional Atlas,A,2014-12-09,MAT-009,SOUTH,accepted
EQ-0070,NORTH-UNIT-02,Motor,Fictional Meridian,B,2022-09-03,MAT-010,NORTH,accepted
EQ-0071,EAST-UNIT-03,Compressor,Fictional Cedar,B,2020-09-13,MAT-011,EAST,accepted
EQ-0072,SOUTH-UNIT-04,Valve,,A,2018-03-09,MAT-012,SOUTH,needs_enrichment
EQ-0073,NORTH-UNIT-01,Pump,Fictional Meridian,A,2018-07-26,MAT-001,NORTH,accepted
EQ-0074,EAST-UNIT-02,Motor,Fictional Cedar,B,2018-12-23,MAT-002,EAST,accepted
EQ-0075,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2023-09-25,MAT-003,SOUTH,accepted
EQ-0076,NORTH-UNIT-04,Valve,Fictional Meridian,B,2024-01-27,MAT-004,NORTH,accepted
EQ-0077,EAST-UNIT-01,Pump,Fictional Cedar,A,2016-02-02,MAT-005,EAST,accepted
EQ-0078,SOUTH-UNIT-02,Motor,Fictional Atlas,B,2020-03-29,MAT-006,SOUTH,accepted
EQ-0079,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2016-03-07,MAT-007,NORTH,accepted
EQ-0080,EAST-UNIT-04,Valve,Fictional Cedar,B,2024-06-15,MAT-008,EAST,accepted
EQ-0081,SOUTH-UNIT-01,Pump,Fictional Atlas,C,2020-09-08,MAT-009,SOUTH,accepted
EQ-0082,NORTH-UNIT-02,Motor,Fictional Meridian,B,2023-09-19,MAT-010,NORTH,accepted
EQ-0083,EAST-UNIT-03,Compressor,Fictional Cedar,B,2023-10-06,MAT-011,EAST,accepted
EQ-0084,SOUTH-UNIT-04,Valve,Fictional Atlas,A,2019-08-14,MAT-012,SOUTH,accepted
EQ-0085,NORTH-UNIT-01,Pump,Fictional Meridian,C,2016-02-26,MAT-001,NORTH,accepted
EQ-0086,EAST-UNIT-02,Motor,Fictional Cedar,C,2019-12-29,MAT-002,EAST,accepted
EQ-0087,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2019-12-03,MAT-003,SOUTH,accepted
EQ-0088,NORTH-UNIT-04,Valve,Fictional Meridian,A,2020-11-09,MAT-004,NORTH,accepted
EQ-0089,EAST-UNIT-01,Pump,,A,2014-09-12,MAT-005,EAST,needs_enrichment
EQ-0090,SOUTH-UNIT-02,Motor,Fictional Atlas,B,2021-07-29,MAT-006,SOUTH,accepted
EQ-0091,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2020-10-10,MAT-007,NORTH,accepted
EQ-0092,EAST-UNIT-04,Valve,Fictional Cedar,C,2023-02-26,MAT-008,EAST,accepted
EQ-0093,SOUTH-UNIT-01,Pump,Fictional Atlas,B,2013-06-07,MAT-009,SOUTH,accepted
EQ-0094,NORTH-UNIT-02,Motor,Fictional Meridian,B,2021-08-28,MAT-010,NORTH,accepted
EQ-0095,EAST-UNIT-03,Compressor,Fictional Cedar,C,2019-01-10,MAT-011,EAST,accepted
EQ-0096,SOUTH-UNIT-04,Valve,Fictional Atlas,B,2022-12-30,MAT-012,SOUTH,accepted
EQ-0097,NORTH-UNIT-01,Pump,Fictional Meridian,B,2016-10-08,MAT-001,NORTH,accepted
EQ-0098,EAST-UNIT-02,Motor,Fictional Cedar,A,2017-11-16,MAT-002,EAST,accepted
EQ-0099,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2022-02-17,MAT-003,SOUTH,accepted
EQ-0100,NORTH-UNIT-04,Valve,Fictional Meridian,A,2017-01-05,MAT-004,NORTH,accepted
EQ-0101,EAST-UNIT-01,Pump,Fictional Cedar,B,2013-12-16,MAT-005,EAST,accepted
EQ-0102,SOUTH-UNIT-02,Motor,Fictional Atlas,B,2024-01-27,MAT-006,SOUTH,accepted
EQ-0103,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2019-01-27,MAT-007,NORTH,accepted
EQ-0104,EAST-UNIT-04,Valve,Fictional Cedar,A,2023-12-06,MAT-008,EAST,accepted
EQ-0105,SOUTH-UNIT-01,Pump,Fictional Atlas,A,2017-05-13,MAT-009,SOUTH,accepted
EQ-0106,NORTH-UNIT-02,Motor,,B,2018-05-17,MAT-010,NORTH,needs_enrichment
EQ-0107,EAST-UNIT-03,Compressor,Fictional Cedar,B,2017-06-19,MAT-011,EAST,accepted
EQ-0108,SOUTH-UNIT-04,Valve,Fictional Atlas,B,2014-04-04,MAT-012,SOUTH,accepted
EQ-0109,NORTH-UNIT-01,Pump,Fictional Meridian,B,2024-04-18,MAT-001,NORTH,accepted
EQ-0110,EAST-UNIT-02,Motor,Fictional Cedar,B,2020-06-17,MAT-002,EAST,accepted
EQ-0111,SOUTH-UNIT-03,Compressor,Fictional Atlas,C,2019-01-15,MAT-003,SOUTH,accepted
EQ-0112,NORTH-UNIT-04,Valve,Fictional Meridian,B,2024-05-30,MAT-004,NORTH,accepted
EQ-0113,EAST-UNIT-01,Pump,Fictional Cedar,A,2023-09-28,MAT-005,EAST,accepted
EQ-0114,SOUTH-UNIT-02,Motor,Fictional Atlas,B,2015-09-03,MAT-006,SOUTH,accepted
EQ-0115,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2020-04-13,MAT-007,NORTH,accepted
EQ-0116,EAST-UNIT-04,Valve,Fictional Cedar,A,2017-10-28,MAT-008,EAST,accepted
EQ-0117,SOUTH-UNIT-01,Pump,Fictional Atlas,C,2022-10-03,MAT-009,SOUTH,accepted
EQ-0118,NORTH-UNIT-02,Motor,Fictional Meridian,A,2014-10-25,MAT-010,NORTH,accepted
EQ-0119,EAST-UNIT-03,Compressor,Fictional Cedar,C,2022-01-07,MAT-011,EAST,accepted
EQ-0120,SOUTH-UNIT-04,Valve,Fictional Atlas,B,2017-11-13,MAT-012,SOUTH,accepted
EQ-0121,NORTH-UNIT-01,Pump,Fictional Meridian,C,2017-08-19,MAT-001,NORTH,accepted
EQ-0122,EAST-UNIT-02,Motor,Fictional Cedar,B,2019-07-21,MAT-002,EAST,accepted
EQ-0123,SOUTH-UNIT-03,Compressor,,A,2015-05-31,MAT-003,SOUTH,needs_enrichment
EQ-0124,NORTH-UNIT-04,Valve,Fictional Meridian,B,2019-01-11,MAT-004,NORTH,accepted
EQ-0125,EAST-UNIT-01,Pump,Fictional Cedar,C,2019-07-08,MAT-005,EAST,accepted
EQ-0126,SOUTH-UNIT-02,Motor,Fictional Atlas,B,2020-10-03,MAT-006,SOUTH,accepted
EQ-0127,NORTH-UNIT-03,Compressor,Fictional Meridian,A,2019-07-29,MAT-007,NORTH,accepted
EQ-0128,EAST-UNIT-04,Valve,Fictional Cedar,A,2014-04-01,MAT-008,EAST,accepted
EQ-0129,SOUTH-UNIT-01,Pump,Fictional Atlas,B,2018-03-23,MAT-009,SOUTH,accepted
EQ-0130,NORTH-UNIT-02,Motor,Fictional Meridian,B,2020-06-19,MAT-010,NORTH,accepted
EQ-0131,EAST-UNIT-03,Compressor,Fictional Cedar,A,2018-08-05,MAT-011,EAST,accepted
EQ-0132,SOUTH-UNIT-04,Valve,Fictional Atlas,C,2017-04-26,MAT-012,SOUTH,accepted
EQ-0133,NORTH-UNIT-01,Pump,Fictional Meridian,C,2014-08-29,MAT-001,NORTH,accepted
EQ-0134,EAST-UNIT-02,Motor,Fictional Cedar,B,2016-01-16,MAT-002,EAST,accepted
EQ-0135,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2014-06-04,MAT-003,SOUTH,accepted
EQ-0136,NORTH-UNIT-04,Valve,Fictional Meridian,C,2014-11-03,MAT-004,NORTH,accepted
EQ-0137,EAST-UNIT-01,Pump,Fictional Cedar,C,2022-08-09,MAT-005,EAST,accepted
EQ-0138,SOUTH-UNIT-02,Motor,Fictional Atlas,B,2022-05-09,MAT-006,SOUTH,accepted
EQ-0139,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2017-03-23,MAT-007,NORTH,accepted
EQ-0140,EAST-UNIT-04,Valve,,B,2022-04-07,MAT-008,EAST,needs_enrichment
EQ-0141,SOUTH-UNIT-01,Pump,Fictional Atlas,B,2014-03-10,MAT-009,SOUTH,accepted
EQ-0142,NORTH-UNIT-02,Motor,Fictional Meridian,C,2015-01-27,MAT-010,NORTH,accepted
EQ-0143,EAST-UNIT-03,Compressor,Fictional Cedar,B,2019-09-01,MAT-011,EAST,accepted
EQ-0144,SOUTH-UNIT-04,Valve,Fictional Atlas,B,2023-06-25,MAT-012,SOUTH,accepted
EQ-0145,NORTH-UNIT-01,Pump,Fictional Meridian,A,2021-09-07,MAT-001,NORTH,accepted
EQ-0146,EAST-UNIT-02,Motor,Fictional Cedar,B,2017-01-29,MAT-002,EAST,accepted
EQ-0147,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2024-03-11,MAT-003,SOUTH,accepted
EQ-0148,NORTH-UNIT-04,Valve,Fictional Meridian,B,2016-05-22,MAT-004,NORTH,accepted
EQ-0149,EAST-UNIT-01,Pump,Fictional Cedar,B,2021-07-08,MAT-005,EAST,accepted
EQ-0150,SOUTH-UNIT-02,Motor,Fictional Atlas,A,2023-02-21,MAT-006,SOUTH,accepted
EQ-0151,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2015-05-02,MAT-007,NORTH,accepted
EQ-0152,EAST-UNIT-04,Valve,Fictional Cedar,C,2015-02-26,MAT-008,EAST,accepted
EQ-0153,SOUTH-UNIT-01,Pump,Fictional Atlas,C,2019-01-20,MAT-009,SOUTH,accepted
EQ-0154,NORTH-UNIT-02,Motor,Fictional Meridian,C,2021-02-02,MAT-010,NORTH,accepted
EQ-0155,EAST-UNIT-03,Compressor,Fictional Cedar,B,2020-05-17,MAT-011,EAST,accepted
EQ-0156,SOUTH-UNIT-04,Valve,Fictional Atlas,A,2018-07-28,MAT-012,SOUTH,accepted
EQ-0157,NORTH-UNIT-01,Pump,,C,2018-05-25,MAT-001,NORTH,needs_enrichment
EQ-0158,EAST-UNIT-02,Motor,Fictional Cedar,B,2022-07-19,MAT-002,EAST,accepted
EQ-0159,SOUTH-UNIT-03,Compressor,Fictional Atlas,A,2024-05-01,MAT-003,SOUTH,accepted
EQ-0160,NORTH-UNIT-04,Valve,Fictional Meridian,C,2023-11-14,MAT-004,NORTH,accepted
EQ-0161,EAST-UNIT-01,Pump,Fictional Cedar,B,2020-10-27,MAT-005,EAST,accepted
EQ-0162,SOUTH-UNIT-02,Motor,Fictional Atlas,A,2022-04-01,MAT-006,SOUTH,accepted
EQ-0163,NORTH-UNIT-03,Compressor,Fictional Meridian,A,2016-10-24,MAT-007,NORTH,accepted
EQ-0164,EAST-UNIT-04,Valve,Fictional Cedar,B,2016-11-30,MAT-008,EAST,accepted
EQ-0165,SOUTH-UNIT-01,Pump,Fictional Atlas,A,2015-07-25,MAT-009,SOUTH,accepted
EQ-0166,NORTH-UNIT-02,Motor,Fictional Meridian,B,2014-03-13,MAT-010,NORTH,accepted
EQ-0167,EAST-UNIT-03,Compressor,Fictional Cedar,C,2019-08-06,MAT-011,EAST,accepted
EQ-0168,SOUTH-UNIT-04,Valve,Fictional Atlas,A,2013-02-04,MAT-012,SOUTH,accepted
EQ-0169,NORTH-UNIT-01,Pump,Fictional Meridian,C,2022-11-08,MAT-001,NORTH,accepted
EQ-0170,EAST-UNIT-02,Motor,Fictional Cedar,B,2014-08-10,MAT-002,EAST,accepted
EQ-0171,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2016-10-25,MAT-003,SOUTH,accepted
EQ-0172,NORTH-UNIT-04,Valve,Fictional Meridian,B,2020-03-19,MAT-004,NORTH,accepted
EQ-0173,EAST-UNIT-01,Pump,Fictional Cedar,A,2018-04-11,MAT-005,EAST,accepted
EQ-0174,SOUTH-UNIT-02,Motor,,A,2018-11-09,MAT-006,SOUTH,needs_enrichment
EQ-0175,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2016-06-02,MAT-007,NORTH,accepted
EQ-0176,EAST-UNIT-04,Valve,Fictional Cedar,B,2016-10-12,MAT-008,EAST,accepted
EQ-0177,SOUTH-UNIT-01,Pump,Fictional Atlas,C,2020-03-08,MAT-009,SOUTH,accepted
EQ-0178,NORTH-UNIT-02,Motor,Fictional Meridian,A,2015-06-03,MAT-010,NORTH,accepted
EQ-0179,EAST-UNIT-03,Compressor,Fictional Cedar,C,2023-09-11,MAT-011,EAST,accepted
EQ-0180,SOUTH-UNIT-04,Valve,Fictional Atlas,C,2018-05-24,MAT-012,SOUTH,accepted
