source_row,equipment_id,functional_location,equipment_type,manufacturer,criticality,installation_date,material_id,plant
A0072,EQ-0072,SOUTH-UNIT-04,Valve,,A,2018-03-09,MAT-012,SOUTH
A0073,EQ-0073,NORTH-UNIT-01,Pump,Fictional Meridian,A,2018-07-26,MAT-001,NORTH
A0074,EQ-0074,EAST-UNIT-02,Motor,Fictional Cedar,B,2018-12-23,MAT-002,EAST
A0075,EQ-0075,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2023-09-25,MAT-003,SOUTH
A0076,EQ-0076,NORTH-UNIT-04,Valve,Fictional Meridian,B,2024-01-27,MAT-004,NORTH
A0077,EQ-0077,EAST-UNIT-01,Pump,Fictional Cedar,A,2016-02-02,MAT-005,EAST
A0078, eq-0078 ,SOUTH-UNIT-02,Motor,Fictional Atlas,B,2020-03-29,MAT-006,SOUTH
A0079,EQ-0079,NORTH-UNIT-03, COMPRESSOR ,Fictional Meridian,B,2016-03-07,MAT-007,NORTH
A0080,EQ-0080,EAST-UNIT-04,Valve,Fictional Cedar,B,2024-06-15,MAT-008,EAST
A0081,EQ-0081,SOUTH-UNIT-01,Pump,Fictional Atlas,C,2020-09-08,MAT-009,SOUTH
A0082,EQ-0082,NORTH-UNIT-02,Motor,Fictional Meridian,B,2023/09/19,MAT-010,NORTH
A0083,EQ-0083,EAST-UNIT-03,Compressor,Fictional Cedar,B,2023-10-06,MAT-011,EAST
A0084,EQ-0084,SOUTH-UNIT-04,Valve,Fictional Atlas,A,2019-08-14,MAT-012,SOUTH
A0085,EQ-0085,NORTH-UNIT-01,Pump,Fictional Meridian,C,2016-02-26,MAT-001,NORTH
A0086,EQ-0086,EAST-UNIT-02,Motor,Fictional Cedar,C,2019-12-29,MAT-002,EAST
A0087,EQ-0087,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2019-12-03,MAT-003,SOUTH
A0088,EQ-0088,NORTH-UNIT-04,Valve,Fictional Meridian,A,2020-11-09,MAT-004,NORTH
A0089, eq-0089 ,EAST-UNIT-01,Pump,,A,2014-09-12,MAT-005,EAST
A0090,EQ-0090,SOUTH-UNIT-02,Motor,Fictional Atlas,B,2021-07-29,MAT-006,SOUTH
A0091,EQ-0091,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2020-10-10,MAT-007,NORTH
A0092,EQ-0092,EAST-UNIT-04, VALVE ,Fictional Cedar,C,2023-02-26,MAT-008,EAST
A0093,EQ-0093,SOUTH-UNIT-01,Pump,Fictional Atlas,B,2013-06-07,MAT-009,SOUTH
A0094,EQ-0094,NORTH-UNIT-02,Motor,Fictional Meridian,B,2021-08-28,MAT-010,NORTH
A0095,EQ-0095,EAST-UNIT-03,Compressor,Fictional Cedar,C,2019-01-10,MAT-011,EAST
A0096,EQ-0096,SOUTH-UNIT-04,Valve,Fictional Atlas,B,2022-12-30,MAT-012,SOUTH
A0097,EQ-0097,NORTH-UNIT-01,Pump,Fictional Meridian,B,2016-10-08,MAT-001,NORTH
A0098,EQ-0098,EAST-UNIT-02,Motor,Fictional Cedar,A,2017-11-16,MAT-002,EAST
A0099,EQ-0099,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2022-02-17,MAT-003,SOUTH
A0100, eq-0100 ,NORTH-UNIT-04,Valve,Fictional Meridian,A,2017-01-05,MAT-004,NORTH
A0101,EQ-0101,EAST-UNIT-01,Pump,Fictional Cedar,B,2013/12/16,MAT-005,EAST
A0102,EQ-0102,SOUTH-UNIT-02,Motor,Fictional Atlas,B,2024-01-27,MAT-006,SOUTH
A0103,EQ-0103,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2019-01-27,MAT-007,NORTH
A0104,EQ-0104,EAST-UNIT-04,Valve,Fictional Cedar,A,2023-12-06,MAT-008,EAST
A0105,EQ-0105,SOUTH-UNIT-01, PUMP ,Fictional Atlas,A,2017-05-13,MAT-009,SOUTH
A0106,EQ-0106,NORTH-UNIT-02,Motor,,B,2018-05-17,MAT-010,NORTH
A0107,EQ-0107,EAST-UNIT-03,Compressor,Fictional Cedar,B,2017-06-19,MAT-011,EAST
A0108,EQ-0108,SOUTH-UNIT-04,Valve,Fictional Atlas,B,2014-04-04,MAT-012,SOUTH
A0109,EQ-0109,NORTH-UNIT-01,Pump,Fictional Meridian,B,2024-04-18,MAT-001,NORTH
A0110,EQ-0110,EAST-UNIT-02,Motor,Fictional Cedar,B,2020-06-17,MAT-002,EAST
A0111, eq-0111 ,SOUTH-UNIT-03,Compressor,Fictional Atlas,C,2019-01-15,MAT-003,SOUTH
A0112,EQ-0112,NORTH-UNIT-04,Valve,Fictional Meridian,B,2024-05-30,MAT-004,NORTH
A0113,EQ-0113,EAST-UNIT-01,Pump,Fictional Cedar,A,2023-09-28,MAT-005,EAST
A0114,EQ-0114,SOUTH-UNIT-02,Motor,Fictional Atlas,B,2015-09-03,MAT-006,SOUTH
A0115,EQ-0115,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2020-04-13,MAT-007,NORTH
A0116,EQ-0116,EAST-UNIT-04,Valve,Fictional Cedar,A,2017-10-28,MAT-008,EAST
A0117,EQ-0117,SOUTH-UNIT-01,Pump,Fictional Atlas,C,2022-10-03,MAT-009,SOUTH
A0118,EQ-0118,NORTH-UNIT-02, MOTOR ,Fictional Meridian,A,2014-10-25,MAT-010,NORTH
A0119,EQ-0119,EAST-UNIT-03,Compressor,Fictional Cedar,C,2022-01-07,MAT-011,EAST
A0120,EQ-0120,SOUTH-UNIT-04,Valve,Fictional Atlas,B,2017/11/13,MAT-012,SOUTH
A0121,EQ-0121,NORTH-UNIT-01,Pump,Fictional Meridian,C,2017-08-19,MAT-001,NORTH
A0122, eq-0122 ,EAST-UNIT-02,Motor,Fictional Cedar,B,2019-07-21,MAT-002,EAST
A0123,EQ-0123,SOUTH-UNIT-03,Compressor,,A,2015-05-31,MAT-003,SOUTH
A0124,EQ-0124,NORTH-UNIT-04,Valve,Fictional Meridian,B,2019-01-11,MAT-004,NORTH
A0125,EQ-0125,EAST-UNIT-01,Pump,Fictional Cedar,C,2019-07-08,MAT-005,EAST
A0126,EQ-0126,SOUTH-UNIT-02,Motor,Fictional Atlas,B,2020-10-03,MAT-006,SOUTH
A0127,EQ-0127,NORTH-UNIT-03,Compressor,Fictional Meridian,A,2019-07-29,MAT-007,NORTH
A0128,EQ-0128,EAST-UNIT-04,Valve,Fictional Cedar,A,2014-04-01,MAT-008,EAST
A0129,EQ-0129,SOUTH-UNIT-01,Pump,Fictional Atlas,B,2018-03-23,MAT-009,SOUTH
A0130,EQ-0130,NORTH-UNIT-02,Motor,Fictional Meridian,B,2020-06-19,MAT-010,NORTH
A0131,EQ-0131,EAST-UNIT-03, COMPRESSOR ,Fictional Cedar,A,2018-08-05,MAT-011,EAST
A0132,EQ-0132,SOUTH-UNIT-04,Valve,Fictional Atlas,C,2017-04-26,MAT-012,SOUTH
A0133, eq-0133 ,NORTH-UNIT-01,Pump,Fictional Meridian,C,2014-08-29,MAT-001,NORTH
A0134,EQ-0134,EAST-UNIT-02,Motor,Fictional Cedar,B,2016-01-16,MAT-002,EAST
A0135,EQ-0135,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2014-06-04,MAT-003,SOUTH
A0136,EQ-0136,NORTH-UNIT-04,Valve,Fictional Meridian,C,2014-11-03,MAT-004,NORTH
A0137,EQ-0137,EAST-UNIT-01,Pump,Fictional Cedar,C,2022-08-09,MAT-005,EAST
A0138,EQ-0138,SOUTH-UNIT-02,Motor,Fictional Atlas,B,2022-05-09,MAT-006,SOUTH
A0139,EQ-0139,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2017/03/23,MAT-007,NORTH
A0140,EQ-0140,EAST-UNIT-04,Valve,,B,2022-04-07,MAT-008,EAST
A0141,EQ-0141,SOUTH-UNIT-01,Pump,Fictional Atlas,B,2014-03-10,MAT-009,SOUTH
A0142,EQ-0142,NORTH-UNIT-02,Motor,Fictional Meridian,C,2015-01-27,MAT-010,NORTH
A0143,EQ-0143,EAST-UNIT-03,Compressor,Fictional Cedar,B,2019-09-01,MAT-011,EAST
A0144, eq-0144 ,SOUTH-UNIT-04, VALVE ,Fictional Atlas,B,2023-06-25,MAT-012,SOUTH
A0145,EQ-0145,NORTH-UNIT-01,Pump,Fictional Meridian,A,2021-09-07,MAT-001,NORTH
A0146,EQ-0146,EAST-UNIT-02,Motor,Fictional Cedar,B,2017-01-29,MAT-002,EAST
A0147,EQ-0147,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2024-03-11,MAT-003,SOUTH
A0148,EQ-0148,NORTH-UNIT-04,Valve,Fictional Meridian,B,2016-05-22,MAT-004,NORTH
A0149,EQ-0149,EAST-UNIT-01,Pump,Fictional Cedar,B,2021-07-08,MAT-005,EAST
A0150,EQ-0150,SOUTH-UNIT-02,Motor,Fictional Atlas,A,2023-02-21,MAT-006,SOUTH
A0151,EQ-0151,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2015-05-02,MAT-007,NORTH
A0152,EQ-0152,EAST-UNIT-04,Valve,Fictional Cedar,C,2015-02-26,MAT-008,EAST
A0153,EQ-0153,SOUTH-UNIT-01,Pump,Fictional Atlas,C,2019-01-20,MAT-009,SOUTH
A0154,EQ-0154,NORTH-UNIT-02,Motor,Fictional Meridian,C,2021-02-02,MAT-010,NORTH
A0155, eq-0155 ,EAST-UNIT-03,Compressor,Fictional Cedar,B,2020-05-17,MAT-011,EAST
A0156,EQ-0156,SOUTH-UNIT-04,Valve,Fictional Atlas,A,2018-07-28,MAT-012,SOUTH
A0157,EQ-0157,NORTH-UNIT-01, PUMP ,,C,2018-05-25,MAT-001,NORTH
A0158,EQ-0158,EAST-UNIT-02,Motor,Fictional Cedar,B,2022/07/19,MAT-002,EAST
A0159,EQ-0159,SOUTH-UNIT-03,Compressor,Fictional Atlas,A,2024-05-01,MAT-003,SOUTH
A0160,EQ-0160,NORTH-UNIT-04,Valve,Fictional Meridian,C,2023-11-14,MAT-004,NORTH
A0161,EQ-0161,EAST-UNIT-01,Pump,Fictional Cedar,B,2020-10-27,MAT-005,EAST
A0162,EQ-0162,SOUTH-UNIT-02,Motor,Fictional Atlas,A,2022-04-01,MAT-006,SOUTH
A0163,EQ-0163,NORTH-UNIT-03,Compressor,Fictional Meridian,A,2016-10-24,MAT-007,NORTH
A0164,EQ-0164,EAST-UNIT-04,Valve,Fictional Cedar,B,2016-11-30,MAT-008,EAST
A0165,EQ-0165,SOUTH-UNIT-01,Pump,Fictional Atlas,A,2015-07-25,MAT-009,SOUTH
A0166, eq-0166 ,NORTH-UNIT-02,Motor,Fictional Meridian,B,2014-03-13,MAT-010,NORTH
A0167,EQ-0167,EAST-UNIT-03,Compressor,Fictional Cedar,C,2019-08-06,MAT-011,EAST
A0168,EQ-0168,SOUTH-UNIT-04,Valve,Fictional Atlas,A,2013-02-04,MAT-012,SOUTH
A0169,EQ-0169,NORTH-UNIT-01,Pump,Fictional Meridian,C,2022-11-08,MAT-001,NORTH
A0170,EQ-0170,EAST-UNIT-02, MOTOR ,Fictional Cedar,B,2014-08-10,MAT-002,EAST
A0171,EQ-0171,SOUTH-UNIT-03,Compressor,Fictional Atlas,B,2016-10-25,MAT-003,SOUTH
A0172,EQ-0172,NORTH-UNIT-04,Valve,Fictional Meridian,B,2020-03-19,MAT-004,NORTH
A0173,EQ-0173,EAST-UNIT-01,Pump,Fictional Cedar,A,2018-04-11,MAT-005,EAST
A0174,EQ-0174,SOUTH-UNIT-02,Motor,,A,2018-11-09,MAT-006,SOUTH
A0175,EQ-0175,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2016-06-02,MAT-007,NORTH
A0176,EQ-0176,EAST-UNIT-04,Valve,Fictional Cedar,B,2016-10-12,MAT-008,EAST
A0177, eq-0177 ,SOUTH-UNIT-01,Pump,Fictional Atlas,C,2020/03/08,MAT-009,SOUTH
A0178,EQ-0178,NORTH-UNIT-02,Motor,Fictional Meridian,A,2015-06-03,MAT-010,NORTH
A0179,EQ-0179,EAST-UNIT-03,Compressor,Fictional Cedar,C,2023-09-11,MAT-011,EAST
A0180,EQ-0180,SOUTH-UNIT-04,Valve,Fictional Atlas,C,2018-05-24,MAT-012,SOUTH
A0181,EQ-0021,SOUTH-UNIT-01,Pump,,C,2014-09-08,MAT-009,SOUTH
A0182,EQ-0022,NORTH-UNIT-02,Motor,Fictional Meridian,B,2018-06-18,MAT-010,NORTH
A0183, eq-0023 ,EAST-UNIT-03,Compressor,Fictional Cedar,B,2018-08-22,MAT-011,EAST
A0184,EQ-0024,SOUTH-UNIT-04,Valve,Fictional Atlas,B,2022-02-05,MAT-012,SOUTH
A0185,EQ-0031,NORTH-UNIT-03,Compressor,Fictional Meridian,C,2018-10-21,MAT-007,NORTH
A0186,EQ-0032,EAST-UNIT-04,Valve,Fictional Cedar,A,2022-07-06,MAT-008,EAST
A0187,,EAST-UNIT-01,Pump,Fictional Cedar,B,2018-09-14,MAT-005,EAST
A0188,,SOUTH-UNIT-02,Motor,Fictional Atlas,C,2023-08-24,MAT-006,SOUTH
A0189,,NORTH-UNIT-03,Compressor,Fictional Meridian,B,2024-03-23,MAT-007,NORTH
